index,iters,n_zones,elapsed,M_zones_per_sec
0,100,30000,0.9494788646697998,3.159628
1,100,109443,1.1704261302947998,9.350697
2,100,189003,1.7855041027069092,10.585414
3,100,270000,2.468867063522339,10.936191
4,100,348843,2.9513068199157715,11.819951
5,100,428652,3.8698978424072266,11.076571
6,100,509232,4.148236989974976,12.275866
7,100,588747,4.709488153457642,12.501295
8,100,668352,5.330899953842163,12.53732
9,100,750000,5.734766721725464,13.078126
